TIPO,LINK
PLANO_SECCIONAL_DISTRITAL,https://drive.google.com/file/d/11A-Eio9xI8y40vzB0JkZoCQGYRGf2f3r/view?usp=sharing
PLANO_SECCIONAL_INDIVIDUAL,https://drive.google.com/file/d/1KCJB-4gsojdHFgiL-v81WV2jikQNhTRL/view?usp=sharing
