ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION,NOMBRE_MUNICIPIO
15,MEXICO,20,22,82,6342,TECAMAC
15,MEXICO,20,22,82,6343,TECAMAC
15,MEXICO,20,22,82,6344,TECAMAC
15,MEXICO,20,22,82,6345,TECAMAC
15,MEXICO,20,22,82,6346,TECAMAC
15,MEXICO,20,22,82,6347,TECAMAC
15,MEXICO,20,22,82,6348,TECAMAC
15,MEXICO,20,22,82,6349,TECAMAC
15,MEXICO,20,22,82,6350,TECAMAC
15,MEXICO,20,22,82,6351,TECAMAC
15,MEXICO,20,22,82,6546,TECAMAC
15,MEXICO,20,22,82,6547,TECAMAC
15,MEXICO,20,22,82,6548,TECAMAC
15,MEXICO,20,22,82,6549,TECAMAC
15,MEXICO,20,22,82,6550,TECAMAC
15,MEXICO,20,22,82,6551,TECAMAC
15,MEXICO,20,22,82,6552,TECAMAC
15,MEXICO,20,22,82,6553,TECAMAC
15,MEXICO,20,22,82,6554,TECAMAC
15,MEXICO,20,22,82,6555,TECAMAC
15,MEXICO,20,22,82,6556,TECAMAC
15,MEXICO,20,22,82,6557,TECAMAC
15,MEXICO,20,22,82,6558,TECAMAC
15,MEXICO,20,22,82,6559,TECAMAC
15,MEXICO,20,22,82,6560,TECAMAC
15,MEXICO,20,22,82,6561,TECAMAC
15,MEXICO,20,22,82,6562,TECAMAC
15,MEXICO,20,22,82,6563,TECAMAC
15,MEXICO,20,22,82,6564,TECAMAC
15,MEXICO,20,22,82,6565,TECAMAC
15,MEXICO,20,22,82,6566,TECAMAC
15,MEXICO,20,22,82,6567,TECAMAC
15,MEXICO,20,22,82,6568,TECAMAC
15,MEXICO,20,22,82,6569,TECAMAC
15,MEXICO,20,22,82,6570,TECAMAC
15,MEXICO,20,22,82,6571,TECAMAC
15,MEXICO,20,22,82,6572,TECAMAC
15,MEXICO,20,22,82,6573,TECAMAC
15,MEXICO,20,22,82,6574,TECAMAC
15,MEXICO,20,22,82,6575,TECAMAC
15,MEXICO,20,22,82,6576,TECAMAC
15,MEXICO,20,22,82,6577,TECAMAC
15,MEXICO,20,22,82,6578,TECAMAC
15,MEXICO,20,22,82,6579,TECAMAC
15,MEXICO,20,22,125,2247,TONANITLA
15,MEXICO,20,22,125,2248,TONANITLA
15,MEXICO,20,22,125,2249,TONANITLA
