SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
3045,RURAL,COLONIA,PRADOS DE SAN FRANCISCO,55790,20,22,59,NEXTLALPAN
3045,RURAL,AMPLIACION,PRADOS SAN FRANCISCO,55790,20,22,59,NEXTLALPAN
6923,URBANO(A),FRACCIONAMIENTO,EX HACIENDA SANTA INES,55790,20,22,59,NEXTLALPAN
6924,URBANO(A),FRACCIONAMIENTO,EX HACIENDA SANTA INES,55790,20,22,59,NEXTLALPAN
6924,URBANO(A),COLONIA,FRACCION XVII,55790,20,22,59,NEXTLALPAN
6924,URBANO(A),FRACCIONAMIENTO,JARDINES DE SANTA INES,55790,20,22,59,NEXTLALPAN
6924,URBANO(A),FRACCIONAMIENTO,PASEOS DEL VALLE,55796,20,22,59,NEXTLALPAN
6924,URBANO(A),FRACCIONAMIENTO,PASEOS DEL VALLE B,55796,20,22,59,NEXTLALPAN
6925,MIXTO(A),FRACCIONAMIENTO,EX HACIENDA SANTA INES,55790,20,22,59,NEXTLALPAN
6926,URBANO(A),FRACCIONAMIENTO,EX HACIENDA SANTA INES,55790,20,22,59,NEXTLALPAN
6926,URBANO(A),COLONIA,FRACCION XVII,55790,20,22,59,NEXTLALPAN
6926,URBANO(A),FRACCIONAMIENTO,JARDINES DE SANTA INES,55790,20,22,59,NEXTLALPAN
6927,URBANO(A),FRACCIONAMIENTO,EX HACIENDA SANTA INES,55790,20,22,59,NEXTLALPAN
6927,URBANO(A),COLONIA,FRACCION XVII,55790,20,22,59,NEXTLALPAN
6927,URBANO(A),FRACCIONAMIENTO,JARDINES DE SANTA INES,55790,20,22,59,NEXTLALPAN
6927,URBANO(A),FRACCIONAMIENTO,PASEOS DEL VALLE B,55796,20,22,59,NEXTLALPAN
6927,URBANO(A),COLONIA,POZOS Y VIAS,55790,20,22,59,NEXTLALPAN
6928,URBANO(A),FRACCIONAMIENTO,EX HACIENDA SANTA INES,55790,20,22,59,NEXTLALPAN
6928,URBANO(A),FRACCIONAMIENTO,PASEOS DEL VALLE,55790,20,22,59,NEXTLALPAN
6928,URBANO(A),FRACCIONAMIENTO,PASEOS DEL VALLE,55796,20,22,59,NEXTLALPAN
6928,URBANO(A),FRACCIONAMIENTO,PASEOS DEL VALLE B,55796,20,22,59,NEXTLALPAN
6929,URBANO(A),FRACCIONAMIENTO,EX HACIENDA SANTA INES,55790,20,22,59,NEXTLALPAN
6929,URBANO(A),COLONIA,LA CRUZ,55789,20,22,59,NEXTLALPAN
6929,URBANO(A),FRACCIONAMIENTO,PASEOS DEL VALLE,55796,20,22,59,NEXTLALPAN
6929,URBANO(A),COLONIA,RANCHO DE MORA,55789,20,22,59,NEXTLALPAN
6929,URBANO(A),FRACCIONAMIENTO,VILLAS DE NEXTLALPAN,55796,20,22,59,NEXTLALPAN
4235,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4236,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4237,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4238,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4239,URBANO(A),FRACCIONAMIENTO,HACIENDA OJO DE AGUA,55770,20,22,82,TECAMAC
4239,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4240,URBANO(A),FRACCIONAMIENTO,HACIENDA OJO DE AGUA,55770,20,22,82,TECAMAC
4240,URBANO(A),COLONIA,LOS ARCOS,55767,20,22,82,TECAMAC
4240,URBANO(A),FRACCIONAMIENTO,REAL CARRARA,55767,20,22,82,TECAMAC
4240,URBANO(A),CONJUNTO HABITACIONAL,REAL CASTELL,55767,20,22,82,TECAMAC
4242,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4243,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4244,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
4245,URBANO(A),COLONIA,JARDINES RANCHO AEREO,55770,20,22,82,TECAMAC
4245,URBANO(A),FRACCIONAMIENTO,OJO DE AGUA,55770,20,22,82,TECAMAC
6264,URBANO(A),COLONIA,AMPL ESMERALDA,55765,20,22,82,TECAMAC
6265,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6266,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6267,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6268,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6269,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6270,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6271,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6272,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6273,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6274,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC II SECC JARDINES,55764,20,22,82,TECAMAC
6275,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC SECC LAS FLORES,55764,20,22,82,TECAMAC
6276,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC SECC LAS FLORES,55764,20,22,82,TECAMAC
6277,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6278,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6279,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6280,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6281,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6282,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6283,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6284,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
6285,URBANO(A),CONJUNTO HABITACIONAL,LOS HEROES TECAMAC,55763,20,22,82,TECAMAC
