SECCION,TIPO DE SECCION,TIPO DE COLONIA,NOMBRE DE LA COLONIA,CP,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,NOMBRE_MUNICIPIO
4207,URBANO(A),CONJUNTO HABITACIONAL,LA RINCONADA,55744,5,33,82,TECAMAC
4207,URBANO(A),PUEBLO,SAN JERONIMO XONACAHUACAN,55745,5,33,82,TECAMAC
4207,URBANO(A),PUEBLO,SAN PEDRO POZOHUACAN,55744,5,33,82,TECAMAC
4207,URBANO(A),PUEBLO,SANTA MARIA AJOLOAPAN,55750,5,33,82,TECAMAC
4209,URBANO(A),PUEBLO,OZUMBILLA,55768,5,33,82,TECAMAC
4209,URBANO(A),UNIDAD HABITACIONAL,PORTAL OJO DE AGUA,55760,5,33,82,TECAMAC
4210,RURAL,RANCHO,AZUL CLUB DE POLO,55749,5,33,82,TECAMAC
4212,URBANO(A),AMPLIACION,5 DE MAYO,55749,5,33,82,TECAMAC
4212,URBANO(A),COLONIA,HUEYOTENCO,55740,5,33,82,TECAMAC
4212,URBANO(A),COLONIA,SAN JOSE,55748,5,33,82,TECAMAC
4214,URBANO(A),COLONIA,EJIDOS DE TECAMAC,55748,5,33,82,TECAMAC
4214,URBANO(A),FRACCIONAMIENTO,GEMA,55748,5,33,82,TECAMAC
4214,URBANO(A),COLONIA,LA NOPALERA,55749,5,33,82,TECAMAC
4214,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4215,URBANO(A),COLONIA,EJIDOS DE TECAMAC,55748,5,33,82,TECAMAC
4215,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4216,URBANO(A),COLONIA,1RO DE MARZO,55748,5,33,82,TECAMAC
4216,URBANO(A),COLONIA,1RO DE MARZO,55748,5,33,82,TECAMAC
4216,URBANO(A),COLONIA,EJIDOS DE TECAMAC,55748,5,33,82,TECAMAC
4216,URBANO(A),COLONIA,LA ESPERANZA,55748,5,33,82,TECAMAC
4216,URBANO(A),FRACCIONAMIENTO,SIN NOMBRE,55748,5,33,82,TECAMAC
4217,URBANO(A),COLONIA,EJIDOS DE TECAMAC,55748,5,33,82,TECAMAC
4217,URBANO(A),COLONIA,LA ESPERANZA,55748,5,33,82,TECAMAC
4217,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4218,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4219,URBANO(A),COLONIA,EJIDOS DE TECAMAC,55748,5,33,82,TECAMAC
4219,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4220,URBANO(A),COLONIA,5 DE MAYO,55749,5,33,82,TECAMAC
4221,URBANO(A),COLONIA,5 DE MAYO,55749,5,33,82,TECAMAC
4222,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4223,URBANO(A),COLONIA,LOS OLIVOS,55748,5,33,82,TECAMAC
4223,URBANO(A),PUEBLO,SAN MATEO TECALCO,55748,5,33,82,TECAMAC
4223,URBANO(A),PUEBLO,SAN PABLO TECALCO,55747,5,33,82,TECAMAC
4224,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4224,URBANO(A),PUEBLO,SAN MATEO TECALCO,55748,5,33,82,TECAMAC
4225,URBANO(A),COLONIA,1RO DE MARZO,55748,5,33,82,TECAMAC
4225,URBANO(A),FRACCIONAMIENTO,CUANALAN,55747,5,33,82,TECAMAC
4225,URBANO(A),COLONIA,LA ESPERANZA,55748,5,33,82,TECAMAC
4225,URBANO(A),FRACCIONAMIENTO,MEXITLAN,55747,5,33,82,TECAMAC
4225,URBANO(A),COLONIA,MILPISCO,55760,5,33,82,TECAMAC
4225,URBANO(A),FRACCIONAMIENTO,MILPISCO,55748,5,33,82,TECAMAC
4225,URBANO(A),COLONIA,SAN MARTIN AZCATEPEC,55748,5,33,82,TECAMAC
4225,URBANO(A),PUEBLO,SAN MATEO TECALCO,55748,5,33,82,TECAMAC
4225,URBANO(A),PUEBLO,SAN PABLO TECALCO,55747,5,33,82,TECAMAC
4225,URBANO(A),FRACCIONAMIENTO,SIN NOMBRE,55748,5,33,82,TECAMAC
4225,URBANO(A),COLONIA,ZITLALCOATL,55747,5,33,82,TECAMAC
4226,MIXTO(A),COLONIA,ASOCIACION 20 DE SEPTIEMBRE,55760,5,33,82,TECAMAC
4226,MIXTO(A),COLONIA,LLANO M DE LOS BAEZ,55760,5,33,82,TECAMAC
4226,MIXTO(A),FRACCIONAMIENTO,MILPISCO,55748,5,33,82,TECAMAC
4226,MIXTO(A),BARRIO,NUEVA SANTA MARIA,55760,5,33,82,TECAMAC
4226,MIXTO(A),BARRIO,SAN AGUSTIN TECALCO,55760,5,33,82,TECAMAC
4226,MIXTO(A),BARRIO,SAN ANTONIO TECALCO,55760,5,33,82,TECAMAC
4226,MIXTO(A),BARRIO,SAN MIGUEL TECALCO,55760,5,33,82,TECAMAC
4226,MIXTO(A),PUEBLO,SAN PABLO TECALCO,55747,5,33,82,TECAMAC
4226,MIXTO(A),CONJUNTO HABITACIONAL,VILLA DEL REAL 6TA SECC,55749,5,33,82,TECAMAC
4226,MIXTO(A),COLONIA,XONACATLAN,55760,5,33,82,TECAMAC
4226,MIXTO(A),COLONIA,ZITLALCOATL,55747,5,33,82,TECAMAC
4227,URBANO(A),COLONIA,NORCHUCA,55769,5,33,82,TECAMAC
4227,URBANO(A),PUEBLO,SAN FRANCISCO CUAUTLIQUIXCA,55760,5,33,82,TECAMAC
4227,URBANO(A),COLONIA,VILLA DEL REAL 1RA SECC,55760,5,33,82,TECAMAC
