TIPO,LINK
PLANO_SECCIONAL_DISTRITAL,https://drive.google.com/file/d/1z45nMvQ5jmisjX-fyBgBcTGACoG4eYgw/view?usp=sharing
PLANO_SECCIONAL_INDIVIDUAL,https://drive.google.com/file/d/1evISvevmxhuLjEkPp3cpHdYbvrxp4h34/view?usp=sharing
