nombre_distribucion_voto,actor_politico,porcentaje_votacion,voto_actor_politico,total_votos,num_votos_nulos,porcentaje_votos_nulos,num_votos_can_nreg,porcentaje_can_nreg,casillas,secciones,municipios,distritos
"Por Partidos Politicos y candidatos independintes","PAN","11.3318133","18290.000","161404.000","3415.000","2.1158088","81.000","0.0501846","391","158","0","0"
"Por Partidos Politicos y candidatos independintes","PRI","16.6879383","26935.000","161404.000","3415.000","2.1158088","81.000","0.0501846","391","158","0","0"
"Por Partidos Politicos y candidatos independintes","PRD","1.7372556","2804.000","161404.000","3415.000","2.1158088","81.000","0.0501846","391","158","0","0"
"Por Partidos Politicos y candidatos independintes","PVEM","5.7049392","9208.000","161404.000","3415.000","2.1158088","81.000","0.0501846","391","158","0","0"
"Por Partidos Politicos y candidatos independintes","PT","4.2681718","6889.000","161404.000","3415.000","2.1158088","81.000","0.0501846","391","158","0","0"
"Por Partidos Politicos y candidatos independintes","MC","10.1769473","16426.000","161404.000","3415.000","2.1158088","81.000","0.0501846","391","158","0","0"
"Por Partidos Politicos y candidatos independintes","MORENA","47.9269411","77356.000","161404.000","3415.000","2.1158088","81.000","0.0501846","391","158","0","0"
