nombre_distribucion_voto,actor_politico,voto_actor_politico,total_votos,porcentaje_votacion,num_votos_nulos,porcentaje_votos_nulos,num_votos_can_nreg,porcentaje_can_nreg,casillas,secciones,municipios,distritos
"Por Partidos Politicos y candidatos independintes","PAN","19025.000","177502.000","10.7181891","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
"Por Partidos Politicos y candidatos independintes","PRI","30279.000","177502.000","17.0583993","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
"Por Partidos Politicos y candidatos independintes","PRD","2716.000","177502.000","1.5301236","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
"Por Partidos Politicos y candidatos independintes","PVEM","8463.000","177502.000","4.7678336","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
"Por Partidos Politicos y candidatos independintes","PT","7056.000","177502.000","3.9751665","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
"Por Partidos Politicos y candidatos independintes","MC","20400.000","177502.000","11.4928282","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
"Por Partidos Politicos y candidatos independintes","MORENA","82361.000","177502.000","46.4000406","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
"Por Partidos Politicos y candidatos independintes","NAEM","2638.000","177502.000","1.4861804","4395.000","2.4760284","169.000","0.0952102","430","169","0","0"
